Country,Hemisphere,Region,Type,Consumed,GDP PerCapita,Happiness Score,HDI
Denmark,north,Western Europe,Beer PerCapita,224,53.579,7.526,928
Denmark,north,Western Europe,Spirit PerCapita,81,53.579,7.526,928
Denmark,north,Western Europe,Wine PerCapita,278,53.579,7.526,928
Switzerland,north,Western Europe,Beer PerCapita,185,79.866,7.509,943
Switzerland,north,Western Europe,Spirit PerCapita,100,79.866,7.509,943
Switzerland,north,Western Europe,Wine PerCapita,280,79.866,7.509,943
Iceland,north,Western Europe,Beer PerCapita,233,60.53,7.501,933
Iceland,north,Western Europe,Spirit PerCapita,61,60.53,7.501,933
Iceland,north,Western Europe,Wine PerCapita,78,60.53,7.501,933
Norway,north,Western Europe,Beer PerCapita,169,70.89,7.498,951
Norway,north,Western Europe,Spirit PerCapita,71,70.89,7.498,951
Norway,north,Western Europe,Wine PerCapita,129,70.89,7.498,951
Finland,north,Western Europe,Beer PerCapita,263,43.433,7.413,918
Finland,north,Western Europe,Spirit PerCapita,133,43.433,7.413,918
Finland,north,Western Europe,Wine PerCapita,97,43.433,7.413,918
Canada,north,North America,Beer PerCapita,240,42.349,7.404,922
Canada,north,North America,Spirit PerCapita,122,42.349,7.404,922
Canada,north,North America,Wine PerCapita,100,42.349,7.404,922
Netherlands,north,Western Europe,Beer PerCapita,251,45.638,7.339,928
Netherlands,north,Western Europe,Spirit PerCapita,88,45.638,7.339,928
Netherlands,north,Western Europe,Wine PerCapita,190,45.638,7.339,928
New Zealand,south,Australia and New Zealand,Beer PerCapita,203,40.332,7.334,915
New Zealand,south,Australia and New Zealand,Spirit PerCapita,79,40.332,7.334,915
New Zealand,south,Australia and New Zealand,Wine PerCapita,175,40.332,7.334,915
Australia,south,Australia and New Zealand,Beer PerCapita,261,49.897,7.313,938
Australia,south,Australia and New Zealand,Spirit PerCapita,72,49.897,7.313,938
Australia,south,Australia and New Zealand,Wine PerCapita,212,49.897,7.313,938
Sweden,north,Western Europe,Beer PerCapita,152,51.845,7.291,932
Sweden,north,Western Europe,Spirit PerCapita,60,51.845,7.291,932
Sweden,north,Western Europe,Wine PerCapita,186,51.845,7.291,932
Israel,north,Middle East and Northern Africa,Beer PerCapita,63,37.181,7.267,902
Israel,north,Middle East and Northern Africa,Spirit PerCapita,69,37.181,7.267,902
Israel,north,Middle East and Northern Africa,Wine PerCapita,9,37.181,7.267,902
Austria,north,Western Europe,Beer PerCapita,279,44.731,7.119,906
Austria,north,Western Europe,Spirit PerCapita,75,44.731,7.119,906
Austria,north,Western Europe,Wine PerCapita,191,44.731,7.119,906
United States,north,North America,Beer PerCapita,249,57.589,7.104,922
United States,north,North America,Spirit PerCapita,158,57.589,7.104,922
United States,north,North America,Wine PerCapita,84,57.589,7.104,922
Costa Rica,north,Latin America and Caribbean,Beer PerCapita,149,11.733,7.087,791
Costa Rica,north,Latin America and Caribbean,Spirit PerCapita,87,11.733,7.087,791
Costa Rica,north,Latin America and Caribbean,Wine PerCapita,11,11.733,7.087,791
Germany,north,Western Europe,Beer PerCapita,346,42.233,6.994,934
Germany,north,Western Europe,Spirit PerCapita,117,42.233,6.994,934
Germany,north,Western Europe,Wine PerCapita,175,42.233,6.994,934
Brazil,both,Latin America and Caribbean,Beer PerCapita,245,8.639,6.952,758
Brazil,both,Latin America and Caribbean,Spirit PerCapita,145,8.639,6.952,758
Brazil,both,Latin America and Caribbean,Wine PerCapita,16,8.639,6.952,758
Belgium,north,Western Europe,Beer PerCapita,295,41.261,6.929,915
Belgium,north,Western Europe,Spirit PerCapita,84,41.261,6.929,915
Belgium,north,Western Europe,Wine PerCapita,212,41.261,6.929,915
Ireland,north,Western Europe,Beer PerCapita,313,64.1,6.907,934
Ireland,north,Western Europe,Spirit PerCapita,118,64.1,6.907,934
Ireland,north,Western Europe,Wine PerCapita,165,64.1,6.907,934
Luxembourg,north,Western Europe,Beer PerCapita,236,100.739,6.871,904
Luxembourg,north,Western Europe,Spirit PerCapita,133,100.739,6.871,904
Luxembourg,north,Western Europe,Wine PerCapita,271,100.739,6.871,904
Mexico,north,Latin America and Caribbean,Beer PerCapita,238,8.444,6.778,772
Mexico,north,Latin America and Caribbean,Spirit PerCapita,68,8.444,6.778,772
Mexico,north,Latin America and Caribbean,Wine PerCapita,5,8.444,6.778,772
Singapore,north,Southeastern Asia,Beer PerCapita,60,55.243,6.739,930
Singapore,north,Southeastern Asia,Spirit PerCapita,12,55.243,6.739,930
Singapore,north,Southeastern Asia,Wine PerCapita,11,55.243,6.739,930
United Kingdom,north,Western Europe,Beer PerCapita,219,40.412,6.725,920
