Type,Year ended 30 June,Pivot Field Values,Total (L)
Beer (L),2000-01,5.13,10.22
Cider (L),2000-01,,10.22
Spirits (L),2000-01,1.82,10.22
Wine (L),2000-01,3.27,10.22
Beer (L),2001-02,4.87,10.01
Cider (L),2001-02,,10.01
Spirits (L),2001-02,1.88,10.01
Wine (L),2001-02,3.26,10.01
Beer (L),2002-03,5.04,10.44
Cider (L),2002-03,,10.44
Spirits (L),2002-03,2.02,10.44
Wine (L),2002-03,3.38,10.44
Beer (L),2003-04,4.77,10.32
Cider (L),2003-04,,10.32
Spirits (L),2003-04,2.08,10.32
Wine (L),2003-04,3.48,10.32
Beer (L),2004-05,4.67,10.49
Cider (L),2004-05,0.07,10.49
Spirits (L),2004-05,2.18,10.49
Wine (L),2004-05,3.56,10.49
Beer (L),2005-06,4.68,10.5
Cider (L),2005-06,0.07,10.5
Spirits (L),2005-06,2.18,10.5
Wine (L),2005-06,3.57,10.5
Beer (L),2006-07,4.69,10.76
Cider (L),2006-07,0.06,10.76
Spirits (L),2006-07,2.26,10.76
Wine (L),2006-07,3.75,10.76
Beer (L),2007-08,4.69,10.76
Cider (L),2007-08,0.06,10.76
Spirits (L),2007-08,2.29,10.76
Wine (L),2007-08,3.71,10.76
Beer (L),2008-09,4.68,10.84
Cider (L),2008-09,0.1,10.84
Spirits (L),2008-09,2.07,10.84
Wine (L),2008-09,3.99,10.84
Beer (L),2009-10,4.51,10.7
Cider (L),2009-10,0.13,10.7
Spirits (L),2009-10,2.03,10.7
Wine (L),2009-10,4.04,10.7
Beer (L),2010-11,4.3,10.44
Cider (L),2010-11,0.16,10.44
Spirits (L),2010-11,2.05,10.44
Wine (L),2010-11,3.93,10.44
Beer (L),2011-12,4.14,10.15
Cider (L),2011-12,0.17,10.15
Spirits (L),2011-12,1.95,10.15
Wine (L),2011-12,3.88,10.15
Beer (L),2012-13,4.04,10
Cider (L),2012-13,0.23,10
Spirits (L),2012-13,1.95,10
Wine (L),2012-13,3.79,10
Beer (L),2013-14,4.02,9.9
Cider (L),2013-14,0.28,9.9
Spirits (L),2013-14,1.84,9.9
Wine (L),2013-14,3.76,9.9
Beer (L),2014-15,3.76,9.69
Cider (L),2014-15,0.33,9.69
Spirits (L),2014-15,1.79,9.69
Wine (L),2014-15,3.8,9.69
Beer (L),2015-16,3.87,9.8
Cider (L),2015-16,0.3,9.8
Spirits (L),2015-16,1.83,9.8
Wine (L),2015-16,3.79,9.8
Beer (L),2016-17,3.68,9.48
Cider (L),2016-17,0.27,9.48
Spirits (L),2016-17,1.79,9.48
Wine (L),2016-17,3.74,9.48
Beer (L),2017-18,3.71,9.51
Cider (L),2017-18,0.24,9.51
Spirits (L),2017-18,1.89,9.51
Wine (L),2017-18,3.67,9.51
