Code,	Entity,	Type,	Year,	Pivot Field Values
AUS,	Australia,	Beer (% total alcohol),	1890,	47
AUS,	Australia,	Spirits (% total alcohol),	1890,	43
AUS,	Australia,	Wine (% total alcohol),	1890,	10
AUS,	Australia,	Beer (% total alcohol),	1929,	62
AUS,	Australia,	Spirits (% total alcohol),	1929,	20
AUS,	Australia,	Wine (% total alcohol),	1929,	19
AUS,	Australia,	Beer (% total alcohol),	1964,	75
AUS,	Australia,	Spirits (% total alcohol),	1964,	13
AUS,	Australia,	Wine (% total alcohol),	1964,	12
AUS,	Australia,	Beer (% total alcohol),	1984,	64
AUS,	Australia,	Spirits (% total alcohol),	1984,	12
AUS,	Australia,	Wine (% total alcohol),	1984,	24
AUS,	Australia,	Beer (% total alcohol),	2014,	46
AUS,	Australia,	Spirits (% total alcohol),	2014,	14
AUS,	Australia,	Wine (% total alcohol),	2014,	40
AUT,	Austria,	Beer (% total alcohol),	1964,	55
AUT,	Austria,	Spirits (% total alcohol),	1964,	15
AUT,	Austria,	Wine (% total alcohol),	1964,	30
AUT,	Austria,	Beer (% total alcohol),	1984,	49
AUT,	Austria,	Spirits (% total alcohol),	1984,	14
AUT,	Austria,	Wine (% total alcohol),	1984,	37
AUT,	Austria,	Beer (% total alcohol),	2014,	51
AUT,	Austria,	Spirits (% total alcohol),	2014,	14
AUT,	Austria,	Wine (% total alcohol),	2014,	35
BEL,	Belgium,	Beer (% total alcohol),	1890,	62
BEL,	Belgium,	Spirits (% total alcohol),	1890,	35
BEL,	Belgium,	Wine (% total alcohol),	1890,	3
BEL,	Belgium,	Beer (% total alcohol),	1929,	81
BEL,	Belgium,	Spirits (% total alcohol),	1929,	12
BEL,	Belgium,	Wine (% total alcohol),	1929,	8
BEL,	Belgium,	Beer (% total alcohol),	1964,	77
BEL,	Belgium,	Spirits (% total alcohol),	1964,	11
BEL,	Belgium,	Wine (% total alcohol),	1964,	13
BEL,	Belgium,	Beer (% total alcohol),	1984,	61
BEL,	Belgium,	Spirits (% total alcohol),	1984,	18
BEL,	Belgium,	Wine (% total alcohol),	1984,	21
BEL,	Belgium,	Beer (% total alcohol),	2014,	51
BEL,	Belgium,	Spirits (% total alcohol),	2014,	14
BEL,	Belgium,	Wine (% total alcohol),	2014,	35
CAN,	Canada,	Beer (% total alcohol),	1964,	60
CAN,	Canada,	Spirits (% total alcohol),	1964,	34
CAN,	Canada,	Wine (% total alcohol),	1964,	6
